game,index,file,music_no,my_title,ref_title,title_same
th06,1,th06_01.wav,1,赤より紅い夢,赤より紅い夢,1
th06,2,th06_02.wav,2,ほおずきみたいに紅い魂,ほおずきみたいに紅い魂,1
th06,3,th06_03.wav,3,妖魔夜行,妖魔夜行,1
th06,4,th06_04.wav,4,ルーネイトエルフ,ルーネイトエルフ,1
th06,5,th06_05.wav,5,おてんば恋娘,おてんば恋娘,1
th06,6,th06_06.wav,6,上海紅茶館　～ Chinese Tea,上海紅茶館　～ Chinese Tea,1
th06,7,th06_07.wav,7,明治十七年の上海アリス,明治十七年の上海アリス,1
th06,8,th06_08.wav,8,ヴワル魔法図書館,ヴワル魔法図書館,1
th06,9,th06_09.wav,9,ラクトガール　～ 少女密室,ラクトガール　～ 少女密室,1
th06,10,th06_10.wav,10,メイドと血の懐中時計,メイドと血の懐中時計,1
th06,11,th06_11.wav,11,月時計　～ ルナ・ダイアル,月時計　～ ルナ・ダイアル,1
th06,12,th06_12.wav,12,ツェペシュの幼き末裔,ツェペシュの幼き末裔,1
th06,13,th06_13.wav,13,亡き王女の為のセプテット,亡き王女の為のセプテット,1
th06,14,th06_14.wav,14,魔法少女達の百年祭,魔法少女達の百年祭,1
th06,15,th06_15.wav,15,U.N.オーエンは彼女なのか？,U.N.オーエンは彼女なのか？,1
th06,16,th06_16.wav,16,紅より儚い永遠,紅より儚い永遠,1
th06,17,th06_17.wav,17,紅楼　～ Eastern Dream...,紅楼　～ Eastern Dream...,1
th07,1,th07_01.wav,1,妖々夢　～ Snow or Cherry Petal,妖々夢　～ Snow or Cherry Petal,1
th07,2,th07_02.wav,2,無何有の郷　～ Deep Mountain,無何有の郷　～ Deep Mountain,1
th07,3,th07_03.wav,3,クリスタライズシルバー,クリスタライズシルバー,1
th07,4,th07_04.wav,4,遠野幻想物語,遠野幻想物語,1
th07,5,th07_05.wav,5,ティアオイエツォン(withered leaf),ティアオイエツォン(withered leaf),1
th07,6,th07_06.wav,6,ブクレシュティの人形師,ブクレシュティの人形師,1
th07,7,th07_07.wav,7,人形裁判　～ 人の形弄びし少女,人形裁判　～ 人の形弄びし少女,1
