game,index,music_no,title,file,name_src,start,intro_bytes,total_bytes,loop_start,loop_end,loop_bytes,intro_sec,total_sec,loop_sec,rate,ch,bits,title_note
th06,1,1,赤より紅い夢,th06_01.wav,musiccmt,122,1058460,10445460,1058582,10445582,9387000,6.0,59.215,53.214,44100,2,16,
th06,2,2,ほおずきみたいに紅い魂,th06_02.wav,musiccmt,132,3663360,15341096,3663492,15341228,11677736,20.767,86.968,66.2,44100,2,16,
th06,3,3,妖魔夜行,th06_03.wav,musiccmt,118,507088,9789608,507206,9789726,9282520,2.875,55.497,52.622,44100,2,16,
th06,4,4,ルーネイトエルフ,th06_04.wav,musiccmt,126,1215688,15436956,1215814,15437082,14221268,6.892,87.511,80.619,44100,2,16,
th06,5,5,おてんば恋娘,th06_05.wav,musiccmt,122,1021548,15796112,1021670,15796234,14774564,5.791,89.547,83.756,44100,2,16,
th06,6,6,上海紅茶館　～ Chinese Tea,th06_06.wav,musiccmt,136,7936500,24667144,7936636,24667280,16730644,44.991,139.836,94.845,44100,2,16,
th06,7,7,明治十七年の上海アリス,th06_07.wav,musiccmt,132,4152156,18562632,4152288,18562764,14410476,23.538,105.23,81.692,44100,2,16,
th06,8,8,ヴワル魔法図書館,th06_08.wav,musiccmt,126,731204,19541592,731330,19541718,18810388,4.145,110.78,106.635,44100,2,16,
th06,9,9,ラクトガール　～ 少女密室,th06_09.wav,musiccmt,134,5184040,20805540,5184174,20805674,15621500,29.388,117.945,88.557,44100,2,16,
th06,10,10,メイドと血の懐中時計,th06_10.wav,musiccmt,130,3620520,28737988,3620650,28738118,25117468,20.524,162.914,142.389,44100,2,16,
th06,11,11,月時計　～ ルナ・ダイアル,th06_11.wav,musiccmt,166,957764,14877112,957930,14877278,13919348,5.43,84.337,78.908,44100,2,16,
th06,12,12,ツェペシュの幼き末裔,th06_12.wav,musiccmt,130,663980,10434444,664110,10434574,9770464,3.764,59.152,55.388,44100,2,16,
th06,13,13,亡き王女の為のセプテット,th06_13.wav,musiccmt,134,5856672,24841132,5856806,24841266,18984460,33.201,140.823,107.622,44100,2,16,
th06,14,14,魔法少女達の百年祭,th06_14.wav,musiccmt,128,6324868,27044176,6324996,27044304,20719308,35.855,153.312,117.456,44100,2,16,
th06,15,15,U.N.オーエンは彼女なのか？,th06_15.wav,musiccmt,136,788508,22304704,788644,22304840,21516196,4.47,126.444,121.974,44100,2,16,
th06,16,16,紅より儚い永遠,th06_16.wav,musiccmt,124,1600876,9910932,1601000,9911056,8310056,9.075,56.184,47.109,44100,2,16,
th06,17,17,紅楼　～ Eastern Dream...,th06_17.wav,musiccmt,134,958028,18678404,958162,18678538,17720376,5.431,105.887,100.456,44100,2,16,
th07,1,1,妖々夢　～ Snow or Cherry Petal,th07_01.wav,musiccmt,16,1217280,16545568,1217296,16545584,15328288,6.901,93.796,86.895,44100,2,16,
th07,2,2,無何有の郷　～ Deep Mountain,th07_02.wav,musiccmt,16545584,2858880,15499264,19404464,32044848,12640384,16.207,87.864,71.658,44100,2,16,
th07,3,3,クリスタライズシルバー,th07_03.wav,musiccmt,32044848,1912480,12287996,33957328,44332844,10375516,10.842,69.66,58.818,44100,2,16,
th07,4,4,遠野幻想物語,th07_04.wav,musiccmt,44332844,4222040,24640140,48554884,68972984,20418100,23.934,139.683,115.749,44100,2,16,
th07,5,5,ティアオイエツォン(withered leaf),th07_05.wav,musiccmt,68972984,646696,9926136,69619680,78899120,9279440,3.666,56.271,52.605,44100,2,16,
th07,6,6,ブクレシュティの人形師,th07_06.wav,musiccmt,78899120,1404416,22018560,80303536,100917680,20614144,7.962,124.822,116.86,44100,2,16,
th07,7,7,人形裁判　～ 人の形弄びし少女,th07_07.wav,musiccmt,100917680,5019648,31686656,105937328,132604336,26667008,28.456,179.63,151.174,44100,2,16,
th07,8,8,天空の花の都,th07_08.wav,musiccmt,132604336,1433984,43193344,134038320,175797680,41759360,8.129,244.86,236.731,44100,2,16,
th07,9,9,幽霊楽団　～ Phantom Ensemble,th07_09.wav,musiccmt,175797680,746240,24899328,176543920,200697008,24153088,4.23,141.153,136.922,44100,2,16,
th07,10,10,東方妖々夢　～ Ancient Temple,th07_10.wav,musiccmt,200697008,1725440,26254336,202422448,226951344,24528896,9.781,148.834,139.053,44100,2,16,
th07,11,11,広有射怪鳥事　～ Till When?,th07_11.wav,musiccmt,226951344,1186816,19758080,228138160,246709424,18571264,6.728,112.007,105.279,44100,2,16,
th07,12,12,アルティメットトゥルース,th07_12.wav,musiccmt,246709424,493568,10138624,247202992,256848048,9645056,2.798,57.475,54.677,44100,2,16,
th07,13,13,幽雅に咲かせ、墨染の桜　～ Border of Life,th07_13.wav,musiccmt,256848048,3055104,25412608,259903152,282260656,22357504,17.319,144.062,126.743,44100,2,16,
th07,14,14,ボーダーオブライフ,th07_13b.wav,musiccmt,282260656,11650048,16108800,293910704,298369456,4458752,66.043,91.32,25.276,44100,2,16,
th07,15,19,春風の夢,th07_14.wav,musiccmt,298369456,827648,11411712,299197104,309781168,10584064,4.692,64.692,60.0,44100,2,16,
th07,16,20,さくらさくら　～ Japanize Dream...,th07_15.wav,musiccmt,309781168,5245696,17170432,315026864,326951600,11924736,29.738,97.338,67.601,44100,2,16,
th07,17,15,妖々跋扈,th07_16.wav,musiccmt,326951600,1018880,25173760,327970480,352125360,24154880,5.776,142.708,136.932,44100,2,16,
th07,18,16,少女幻葬　～ Necro-Fantasy,th07_17.wav,musiccmt,352125360,257792,37693568,352383152,389818928,37435776,1.461,213.682,212.221,44100,2,16,
th07,19,17,妖々跋扈　～ Who done it!,th07_18.wav,musiccmt,389818928,1018880,25173760,390837808,414992688,24154880,5.776,142.708,136.932,44100,2,16,
th07,20,18,ネクロファンタジア,th07_19.wav,musiccmt,414992688,349440,29523968,415342128,444516656,29174528,1.981,167.369,165.388,44100,2,16,
th08,1,1,永夜抄　～ Eastern Night.,th08_01.wav,musiccmt,16,989888,12715264,989904,12715280,11725376,5.612,72.082,66.47,44100,2,16,
th08,2,2,幻視の夜　～ Ghostly Eyes,th08_00.wav,musiccmt,12715280,699904,23128832,13415184,35844112,22428928,3.968,131.116,127.148,44100,2,16,
th08,3,3,蠢々秋月　～ Mooned Insect,th08_03.wav,musiccmt,35844112,2785280,13762560,38629392,49606672,10977280,15.79,78.019,62.229,44100,2,16,
th08,4,4,夜雀の歌声　～ Night Bird,th08_04.wav,musiccmt,49606672,487168,26398720,50093840,76005392,25911552,2.762,149.653,146.891,44100,2,16,
th08,5,5,もう歌しか聞こえない,th08_05.wav,musiccmt,76005392,4511360,16978176,80516752,92983568,12466816,25.575,96.248,70.674,44100,2,16,
th08,6,6,懐かしき東方の血　～ Old World,th08_06.wav,musiccmt,92983568,2740736,16285696,95724304,109269264,13544960,15.537,92.323,76.785,44100,2,16,
th08,7,7,プレインエイジア,th08_07.wav,musiccmt,109269264,4761088,20195840,114030352,129465104,15434752,26.99,114.489,87.499,44100,2,16,
th08,8,8,永夜の報い　～ Imperishable Night,th08_08.wav,override,129465104,1460992,16809984,130926096,146275088,15348992,8.282,95.295,87.012,44100,2,16,CD 收录版无句点；游戏内 musiccmt 有句点
th08,9,9,少女綺想曲　～ Dream Battle,th08_09.wav,musiccmt,146275088,2337536,28934144,148612624,175209232,26596608,13.251,164.026,150.774,44100,2,16,
th08,10,10,恋色マスタースパーク,th08_10.wav,musiccmt,175209232,1813504,22355968,177022736,197565200,20542464,10.281,126.735,116.454,44100,2,16,
th08,11,11,シンデレラケージ　～ Kagome-Kagome,th08_11.wav,musiccmt,197565200,1178368,30779648,198743568,228344848,29601280,6.68,174.488,167.808,44100,2,16,
th08,12,12,狂気の瞳　～ Invisible Full Moon,th08_12.wav,musiccmt,228344848,534144,21200384,228878992,249545232,20666240,3.028,120.184,117.156,44100,2,16,
th08,13,13,ヴォヤージュ1969,th08_13.wav,musiccmt,249545232,1665728,15250592,251210960,264795824,13584864,9.443,86.455,77.012,44100,2,16,
th08,14,14,千年幻想郷　～ History of the Moon,th08_14.wav,musiccmt,264795824,1235712,31425536,266031536,296221360,30189824,7.005,178.149,171.144,44100,2,16,
th08,15,16,ヴォヤージュ1970,th08_13b.wav,musiccmt,296221360,12362624,14449664,308583984,310671024,2087040,70.083,81.914,11.831,44100,2,16,
th08,16,15,竹取飛翔　～ Lunatic Princess,th08_15.wav,musiccmt,310671024,6678272,31748096,317349296,342419120,25069824,37.859,179.978,142.119,44100,2,16,
th08,17,19,月見草,th08_16.wav,musiccmt,342419120,3086848,15827456,345505968,358246576,12740608,17.499,89.725,72.226,44100,2,16,
th08,18,20,Eternal Dream　～ 幽玄の槭樹,th08_17.wav,musiccmt,358246576,3434880,18601216,361681456,376847792,15166336,19.472,105.449,85.977,44100,2,16,
th08,19,17,エクステンドアッシュ　～ 蓬莱人,th08_18.wav,musiccmt,376847792,881280,28015744,377729072,404863536,27134464,4.996,158.819,153.823,44100,2,16,
th08,20,18,月まで届け、不死の煙,th08_19.wav,musiccmt,404863536,1334816,31184784,406198352,436048320,29849968,7.567,176.784,169.218,44100,2,16,
th08,21,21,東方妖怪小町,th08_20.wav,musiccmt,436048320,1104896,13912704,437153216,449961024,12807808,6.264,78.87,72.607,44100,2,16,
th09,1,1,花映塚　～ Higan Retour,th09_00.wav,musiccmt,16,873344,12542720,873360,12542736,11669376,4.951,71.104,66.153,44100,2,16,
th09,2,3,オリエンタルダークフライト,th09_00b.wav,musiccmt,12542736,1924096,23763968,14466832,36306704,21839872,10.908,134.716,123.809,44100,2,16,
th09,3,16,花の映る塚,th09_00c.wav,musiccmt,36306704,751872,12417664,37058576,48724368,11665792,4.262,70.395,66.133,44100,2,16,
th09,4,2,春色小径　～ Colorful Path,th09_01.wav,musiccmt,48724368,1509888,28176384,50234256,76900752,26666496,8.559,159.73,151.171,44100,2,16,
th09,5,4,フラワリングナイト,th09_02.wav,musiccmt,76900752,833088,22967616,77733840,99868368,22134528,4.723,130.202,125.479,44100,2,16,
th09,6,7,おてんば恋娘の冒険,th09_05.wav,musiccmt,99868368,1913856,26221568,101782224,126089936,24307712,10.85,148.648,137.799,44100,2,16,
th09,7,9,もう歌しか聞こえない　～ Flower Mix,th09_07.wav,musiccmt,126089936,1798144,29327360,127888080,155417296,27529216,10.194,166.255,156.061,44100,2,16,
th09,8,8,幽霊楽団　～ Phantom Ensemble,th07_09.wav,musiccmt,155417296,746240,24899328,156163536,180316624,24153088,4.23,141.153,136.922,44100,2,16,
th09,9,5,東方妖々夢　～ Ancient Temple,th07_10_b.wav,musiccmt,180316624,2689024,28060672,183005648,208377296,25371648,15.244,159.074,143.83,44100,2,16,
th09,10,11,風神少女   (Short Version),th09_08_2.wav,musiccmt,208377296,2817280,31529472,211194576,239906768,28712192,15.971,178.739,162.768,44100,2,16,
th09,11,14,彼岸帰航　～ Riverside View,th09_09.wav,musiccmt,239906768,2525440,30044928,242432208,269951696,27519488,14.317,170.323,156.006,44100,2,16,
th09,12,6,狂気の瞳　～ Invisible Full Moon,th08_12.wav,musiccmt,269951696,671744,21338112,270623440,291289808,20666368,3.808,120.964,117.156,44100,2,16,
th09,13,10,お宇佐さまの素い幡,th09_10.wav,musiccmt,291289808,995328,19341856,292285136,310631664,18346528,5.642,109.648,104.005,44100,2,16,
th09,14,15,六十年目の東方裁判　～ Fate of Sixty Years,th09_11.wav,musiccmt,310631664,1076224,44897280,311707888,355528944,43821056,6.101,254.52,248.419,44100,2,16,
th09,15,12,ポイズンボディ　～ Forsaken Doll,th09_12.wav,musiccmt,355528944,1090816,20756992,356619760,376285936,19666176,6.184,117.67,111.486,44100,2,16,
th09,16,13,今昔幻想郷　～ Flower Land,th09_13.wav,musiccmt,376285936,1898240,28223488,378184176,404509424,26325248,10.761,159.997,149.236,44100,2,16,
th09,17,18,花は幻想のままに,th09_14.wav,musiccmt,404509424,398976,8728320,404908400,413237744,8329344,2.262,49.48,47.219,44100,2,16,
th09,18,17,此岸の塚,th09_15.wav,musiccmt,413237744,3462784,6762240,416700528,419999984,3299456,19.63,38.335,18.704,44100,2,16,
th09,19,19,魂の花　～ Another Dream...,th09_17.wav,musiccmt,419999984,888320,19835776,420888304,439835760,18947456,5.036,112.448,107.412,44100,2,16,
th095,1,1,天狗の手帖　～ Mysterious Note,th095_00.wav,musiccmt,16,1343488,17006592,1343504,17006608,15663104,7.616,96.409,88.793,44100,2,16,
th095,2,2,風の循環　～ Wind Tour,th095_01.wav,musiccmt,17006608,314080,13935648,17320688,30942256,13621568,1.78,79.0,77.22,44100,2,16,
th095,3,3,天狗が見ている　～ Black Eyes,th095_02.wav,musiccmt,30942256,440832,22012928,31383088,52955184,21572096,2.499,124.79,122.291,44100,2,16,
th095,4,4,東の国の眠らない夜,th095_03.wav,musiccmt,52955184,1048576,23336960,54003760,76292144,22288384,5.944,132.296,126.351,44100,2,16,
th095,5,5,レトロスペクティブ京都,th095_04.wav,musiccmt,76292144,1026048,17447168,77318192,93739312,16421120,5.817,98.907,93.09,44100,2,16,
th095,6,6,風神少女,th09_08_2.wav,musiccmt,93739312,2817280,31529472,96556592,125268784,28712192,15.971,178.739,162.768,44100,2,16,
th10,1,1,封印されし神々,th10_02.wav,musiccmt,16,3944448,14875136,3944464,14875152,10930688,22.361,84.326,61.965,44100,2,16,
th10,2,2,人恋し神様　～ Romantic Fall,th10_00.wav,musiccmt,14875152,2718720,24004608,17593872,38879760,21285888,15.412,136.081,120.668,44100,2,16,
th10,3,3,稲田姫様に叱られるから,th10_01.wav,musiccmt,38879760,243200,7868416,39122960,46748176,7625216,1.379,44.606,43.227,44100,2,16,
th10,4,4,厄神様の通り道　～ Dark Road,th10_03.wav,musiccmt,46748176,651776,21412864,47399952,68161040,20761088,3.695,121.388,117.693,44100,2,16,
th10,5,5,運命のダークサイド,th10_04.wav,musiccmt,68161040,510464,18654720,68671504,86815760,18144256,2.894,105.752,102.859,44100,2,16,
th10,6,6,神々が恋した幻想郷,th10_05.wav,musiccmt,86815760,3145728,32159232,89961488,118974992,29013504,17.833,182.309,164.476,44100,2,16,
th10,7,7,芥川龍之介の河童　～ Candid Friend,th10_06.wav,musiccmt,118974992,1746944,25789696,120721936,144764688,24042752,9.903,146.2,136.297,44100,2,16,
th10,8,8,フォールオブフォール　～ 秋めく滝,th10_07.wav,musiccmt,144764688,1708032,35989504,146472720,180754192,34281472,9.683,204.022,194.339,44100,2,16,
th10,9,9,妖怪の山　～ Mysterious Mountain,th10_08.wav,musiccmt,180754192,1652736,14757376,182406928,195511568,13104640,9.369,83.659,74.289,44100,2,16,
th10,10,10,少女が見た日本の原風景,th10_09.wav,musiccmt,195511568,532480,32283136,196044048,227794704,31750656,3.019,183.011,179.992,44100,2,16,
th10,11,11,信仰は儚き人間の為に,th10_10.wav,musiccmt,227794704,2565120,31431936,230359824,259226640,28866816,14.541,178.186,163.644,44100,2,16,
th10,12,12,御柱の墓場　～ Grave of Being,th10_11.wav,musiccmt,259226640,2197504,11931904,261424144,271158544,9734400,12.458,67.641,55.184,44100,2,16,
th10,13,13,神さびた古戦場　～ Suwa Foughten Field,th10_12.wav,musiccmt,271158544,5085952,28725248,276244496,299883792,23639296,28.832,162.842,134.01,44100,2,16,
th10,14,14,明日ハレの日、ケの昨日,th10_15.wav,musiccmt,299883792,413952,35376000,300297744,335259792,34962048,2.347,200.544,198.198,44100,2,16,
th10,15,15,ネイティブフェイス,th10_16.wav,musiccmt,335259792,881184,30438976,336140976,365698768,29557792,4.995,172.557,167.561,44100,2,16,
th10,16,16,麓の神社,th10_13.wav,musiccmt,365698768,8006656,15421952,373705424,381120720,7415296,45.389,87.426,42.037,44100,2,16,
th10,17,17,神は恵みの雨を降らす　～ Sylphid Dream,th10_14.wav,musiccmt,381120720,11131396,15927716,392252116,397048436,4796320,63.103,90.293,27.19,44100,2,16,
th10,18,18,プレイヤーズスコア,th10_17.wav,musiccmt,397048436,1879240,6741184,398927676,403789620,4861944,10.653,38.215,27.562,44100,2,16,
th11,1,1,地霊達の起床,th11_00.wav,musiccmt,16,343552,13745536,343568,13745552,13401984,1.948,77.923,75.975,44100,2,16,
th11,2,2,暗闇の風穴,th11_01.wav,musiccmt,13745552,413056,17480064,14158608,31225616,17067008,2.342,99.093,96.752,44100,2,16,
th11,3,3,封じられた妖怪　～ Lost Place,th11_02.wav,musiccmt,31225616,815104,9795712,32040720,41021328,8980608,4.621,55.531,50.91,44100,2,16,
th11,4,4,渡る者の途絶えた橋,th11_03.wav,musiccmt,41021328,670208,19677696,41691536,60699024,19007488,3.799,111.552,107.752,44100,2,16,
th11,5,5,緑眼のジェラシー,th11_05.wav,musiccmt,60699024,591872,19525120,61290896,80224144,18933248,3.355,110.687,107.331,44100,2,16,
th11,6,6,旧地獄街道を行く,th11_06.wav,musiccmt,80224144,586368,20531840,80810512,100755984,19945472,3.324,116.394,113.07,44100,2,16,
th11,7,7,華のさかづき大江山,th11_07.wav,musiccmt,100755984,1054464,19082240,101810448,119838224,18027776,5.978,108.176,102.198,44100,2,16,
th11,8,8,ハートフェルトファンシー,th11_08.wav,musiccmt,119838224,1431040,24717056,121269264,144555280,23286016,8.112,140.119,132.007,44100,2,16,
th11,9,9,少女さとり　～ 3rd eye,th11_10.wav,musiccmt,144555280,638464,22038656,145193744,166593936,21400192,3.619,124.936,121.316,44100,2,16,
