game,file,title,ls,le,d,decoded_samples,full_samples,len_diff,jump,best_k,residual
th075,sys00_op.wav,萃夢想,6.856417233560091,94.94256235827665,95.94485260770975,4231168,4231168,0,959,1565,23
th075,00a.wav,東方妖恋談,2.085124716553288,83.76959183673469,84.76959183673469,3738339,3738339,0,245,177,75
th075,00b.wav,少女綺想曲　～ Capriccio,6.3447845804988665,71.799410430839,72.799410430839,3210454,3210454,0,1544,-1786,3
th075,01a.wav,恋色マジック,3.1423809523809525,62.37707482993197,63.37707482993197,2794929,2794929,0,2935,1628,152
th075,01b.wav,魔女達の舞踏会,0.6166666666666667,65.48154195011338,66.47873015873016,2931712,2931712,0,3473,594,344
th075,02a.wav,メイドと血の懐中時計,1.221609977324263,101.70877551020408,102.70877551020408,4529457,4529457,0,2217,466,114
th075,02b.wav,月時計　～ ルナ・ダイアル,1.7370521541950112,85.21526077097505,86.45369614512471,3812608,3812608,0,1377,-723,50
th075,03a.wav,ブクレシュティの人形師,3.1243537414965985,118.47349206349206,119.47351473922903,5268782,5268782,0,503,-654,4
th075,03b.wav,人形裁判,2.4313832199546486,63.84913832199546,64.88816326530612,2861568,2861568,0,47,1811,82
th075,04a.wav,ラクトガール　～ 少女密室,2.752267573696145,102.51424036281179,103.51424036281179,4564978,4564978,0,673,-1440,72
th075,04b.wav,ヴワル魔法図書館,13.05936507936508,87.32637188208616,88.35773242630385,3896576,3896576,0,116,-1803,123
th075,05a.wav,広有射怪鳥事　～ Till When?,2.8085487528344673,69.79975056689342,70.79975056689342,3122269,3122269,0,2519,65,549
th075,05b.wav,東方妖々夢　～ Ancient Temple,14.48,85.83195011337868,86.89487528344671,3832064,3832064,0,1794,821,31
th075,06a.wav,亡き王女の為のセプテット,23.49795918367347,71.49283446712018,72.49285714285715,3196935,3196935,0,3738,426,426
th075,07a.wav,幽雅に咲かせ、墨染の桜　～ Border of Life,12.019750566893425,54.69437641723356,55.69439909297052,2456123,2456123,0,1056,1935,516
th075,00c.wav,Demystify Feast,10.002131519274377,138.88990929705216,139.88990929705216,6169145,6169145,0,2450,-282,283
th075,08a.wav,夜が降りてくる　～ Evening Star,5.997913832199546,146.90108843537416,147.90108843537416,6522438,6522438,0,1103,1817,31
th075,09a.wav,御伽の国の鬼が島　～ Missing Power,3.5056009070294785,195.35761904761904,196.35761904761904,8659371,8659371,0,626,-1987,99
th075,53.wav,夏明き,3.9124263038548754,57.25691609977324,58.25691609977324,2569130,2569130,0,452,-2018,6
th075,sys99_ed.wav,東方萃夢想,,,83.57990929705215,3685874,3685874,0,,,
th075,51.wav,魔所,1.028934240362812,33.02848072562358,34.02848072562358,1500656,1500656,0,2122,839,75
th075,52.wav,月輪,6.96077097505669,18.086621315192744,18.636167800453514,821855,821855,0,795,-1408,43
th075,54.wav,遍参,3.073605442176871,75.06573696145125,76.06573696145125,3354499,3354499,0,1964,1830,297
th075,56.wav,裏心,0.6400453514739229,21.51814058956916,22.51814058956916,993050,993050,0,3082,1574,276
th075,57.wav,Intermezzo,3.430453514739229,30.12814058956916,31.12814058956916,1372751,1372751,0,836,-1105,104
th075,58.wav,あゆのかぜ,1.5732199546485262,38.9850566893424,39.9850566893424,1763341,1763341,0,1771,1055,182
th075,67.wav,森閑,1.7510884353741496,41.752857142857145,42.82340136054422,1888512,1888512,0,499,308,320
th075,62.wav,仰空,3.6129251700680274,42.013945578231294,47.00299319727891,2072832,2072832,0,2998,609,9
th075,59.wav,幽境,1.060748299319728,36.00358276643991,37.08807256235828,1635584,1635584,0,336,-1135,16
th075,68.wav,珍客,2.9975510204081632,50.99902494331066,52.0475283446712,2295296,2295296,0,197,-785,2
th075,60.wav,紅夜,1.5760090702947847,35.86802721088436,36.89650793650794,1627136,1627136,0,6829,-785,298
th075,61.wav,戦迅,3.5651020408163263,40.022063492063495,41.08190476190476,1811712,1811712,0,1027,12,526
th075,65.wav,禍機,4.012108843537415,36.01308390022676,37.05904761904762,1634304,1634304,0,2769,-393,146
th075,63.wav,砕月,2.9072562358276643,47.909410430839,48.912834467120184,2157056,2157056,0,683,-1503,311
th105,op.ogg,緋想天,28.41891156462585,133.06321995464853,141.8747619047619,6256677,6256677,0,1690,-1676,95
th105,ta00.ogg,日常坐臥,13.887392290249434,67.22154195011338,75.57097505668935,3332680,3332680,0,3090,-520,189
th105,st00.ogg,地の色は黄色,8.36501133786848,95.03224489795919,108.33045351473923,4777373,4777373,0,7162,1659,44
th105,ta01.ogg,甲論乙駁,12.785668934240363,66.11904761904762,71.12272108843537,3136512,3136512,0,8654,1806,391
th105,ta03.ogg,風光明媚,8.033537414965986,62.03482993197279,71.49639455782312,3152991,3152991,0,1409,464,850
th105,st01.ogg,香る樹葉花,13.956961451247166,104.39253968253968,113.84081632653061,5020380,5020380,0,1105,1123,430
th105,st02.ogg,踊る水飛沫,13.956780045351474,104.39195011337868,114.36294784580498,5043406,5043406,0,2159,-949,219
th105,ta05.ogg,以魚駆蠅,14.901541950113378,65.60521541950114,70.80925170068028,3122688,3122688,0,1720,-644,7
th105,ta04.ogg,冷吟閑酔,4.254671201814059,60.254784580498864,66.03755102040816,2912256,2912256,0,921,-859,22
th105,st03.ogg,嘲りの遊戯,10.323492063492063,100.32321995464852,113.71301587301588,5014744,5014744,0,2222,-494,121
th105,ta08.ogg,放縦不羈,7.506961451247165,52.50705215419501,58.60716553287982,2584576,2584576,0,1270,307,37
th105,ta02.ogg,雲外蒼天,4.371587301587302,61.52018140589569,66.98956916099773,2954240,2954240,0,459,2033,65
th105,st04.ogg,黒い海に紅く　～ Legendary Fish,29.090612244897958,191.99997732426303,209.72721088435375,9248970,9248970,0,3722,-217,44
th105,ta07.ogg,天衣無縫,10.338548752834468,74.33795918367348,75.91764172335601,3347968,3347968,0,10561,279,329
th105,st05.ogg,有頂天変　～ Wonderful Heaven,7.850839002267573,125.60181405895692,130.51702947845806,5755801,5755801,0,6269,1265,1059
th105,st06.ogg,幼心地の有頂天,77.53004535147392,101.38272108843537,114.77863945578231,5061738,5061738,0,13377,-78,153
th105,ta06.ogg,暮色蒼然,9.77873015873016,81.77875283446713,85.3112925170068,3762228,3762228,0,3491,-499,22
th105,sr.ogg,東方緋想天,,,84.4604081632653,3724704,3724704,0,,,
th105,st10.ogg,東方妖恋談,13.256757369614512,91.39616780045351,101.51226757369615,4476691,4476691,0,1547,106,31
th105,st11.ogg,星の器　～ Casket of Star,9.997755102040816,90.91301587301588,94.98204081632653,4188708,4188708,0,7797,-919,103
th105,st12.ogg,フラワリングナイト,21.119024943310656,109.53993197278912,125.14068027210884,5518704,5518704,0,473,-873,41
th105,st13.ogg,ブクレシュティの人形師,14.38607709750567,108.04882086167801,117.60412698412698,5186342,5186342,0,18297,1413,153
th105,st14.ogg,広有射怪鳥事　～ Till When？,13.225691609977325,95.32748299319728,111.17768707482993,4902936,4902936,0,3948,1481,304
th105,st15.ogg,ラクトガール　～ 少女密室,6.509546485260771,97.3202947845805,103.51750566893423,4565122,4565122,0,239,329,151
th105,st16.ogg,幽雅に咲かせ、墨染の桜　～ Border of Life,9.72907029478458,89.17775510204082,101.63587301587302,4482142,4482142,0,11245,-40,113
th105,st17.ogg,亡き王女の為のセプテット,11.269410430839002,99.26843537414966,115.28789115646258,5084196,5084196,0,3556,1799,37
th105,st18.ogg,夜が降りてくる,7.682789115646258,93.39718820861678,105.92727891156463,4671393,4671393,0,1737,-588,60
th105,st19.ogg,砕月,9.112358276643992,106.61197278911564,124.0469387755102,5470470,5470470,0,3655,-924,114
th105,st20.ogg,狂気の瞳　～ Invisible Full Moon,6.184013605442177,93.98149659863945,101.28240362811792,4466554,4466554,0,4054,1156,216
th105,st21.ogg,風神少女,19.077891156462584,128.79222222222222,144.47387755102042,6371298,6371298,0,3316,555,201
th105,st22.ogg,彼岸帰航　～ Riverside View,10.829297052154194,90.0177097505669,101.64975056689343,4482754,4482754,0,6598,-2037,63
th123,op2.ogg,君はあの影を見たか？,7.455804988662131,97.93569160997733,104.07777777777778,4589830,4589830,0,2899,-1052,43
th123,select.ogg,萃夢想,4.002789115646259,92.00278911564625,95.99893424036281,4233553,4233553,0,3753,3,228
th123,ta20.ogg,伝説の巨神,21.079138321995465,64.01848072562358,68.78857142857143,3033576,3033576,0,914,623,133
th123,ta21.ogg,ぼくらの非想天則,6.806530612244898,82.52013605442177,85.36666666666666,3764670,3764670,0,2534,1309,112
th123,ta22.ogg,人形のある風景,4.996689342403628,61.72387755102041,65.3061224489796,2880000,2880000,0,934,1547,38
th123,sr2.ogg,悠久の蒸気機関,,,100.06557823129252,4412892,4412892,0,,,
th123,st30.ogg,信仰は儚き人間の為に,16.97424036281179,96.97589569160998,102.82163265306123,4534434,4534434,0,1214,320,182
th123,st31.ogg,おてんば恋娘,12.342199546485261,89.39530612244899,97.18478458049887,4285849,4285849,0,14496,858,22
th123,st32.ogg,上海紅茶館　～ Chinese Tea,9.011020408163265,95.41142857142857,105.12,4635792,4635792,0,8768,1268,126
th123,st33.ogg,霊知の太陽信仰　～ Nuclear Fusion,5.831065759637188,91.16496598639456,96.08843537414965,4237500,4237500,0,1107,-735,111
th123,st34.ogg,明日ハレの日、ケの昨日,3.8341269841269843,91.4027664399093,97.37795918367347,4294368,4294368,0,427,1739,90
th123,st35.ogg,アンノウンＸ　～ Unfound Adventure,10.981360544217686,165.95281179138323,176.03047619047618,7762944,7762944,0,3505,-1959,199
th123,st36.ogg,空に浮かぶ物体Ｘ,36.68349206349206,58.62596371882086,62.42176870748299,2752800,2752800,0,814,-608,79
th123,st40.ogg,二色蓮花蝶　～ Ancients,2.8605215419501135,94.06049886621315,105.62666666666667,4658136,4658136,0,2036,749,97
th123,st41.ogg,恋色マジック,11.178321995464852,102.03537414965986,105.51043083900227,4653010,4653010,0,758,1966,80
th123,st42.ogg,the Grimoire of Alice,13.954897959183674,101.84215419501133,108.54185941043085,4786696,4786696,0,1290,469,85
th123,st43.ogg,ヴワル魔法図書館,17.34827664399093,91.6346485260771,95.33179138321995,4204132,4204132,0,10008,125,397
th123,st99.ogg,東方妖恋談 (世紀末バージョン),6.60891156462585,40.894716553287985,43.73111111111111,1928542,1928542,0,1939,-187,17
th135,reimu1.ogg,春色小径　～ Colorful Path,6.794648526077098,110.94532879818594,117.51918367346939,5182596,5182596,0,4873,-1155,37
th135,marisa1.ogg,メイガスナイト,5.631496598639456,125.63149659863946,132.90068027210884,5860920,5860920,0,1190,1305,15
th135,ichirin1.ogg,時代親父とハイカラ少女,2.0073469387755103,107.340589569161,114.51054421768707,5049915,5049915,0,1135,673,190
th135,hijiri1.ogg,感情の摩天楼　～ Cosmic Mind,14.192789115646258,139.64721088435374,144.01569160997732,6351092,6351092,0,5163,-478,61
th135,futo1.ogg,大神神話伝,4.6092743764172335,126.79120181405895,133.42448979591836,5884020,5884020,0,1030,-1017,46
th135,miko1.ogg,聖徳伝説　～ True Administrator,38.043786848072564,156.64836734693878,163.25061224489795,7199352,7199352,0,1553,-27,309
th135,nitori1.ogg,芥川龍之介の河童　～ Candid Friend,10.798798185941044,122.10619047619048,128.7994784580499,5680057,5680057,0,181,569,51
th135,koishi1.ogg,ハルトマンの妖怪少女,5.786575963718821,123.69226757369614,128.18197278911563,5652825,5652825,0,2427,-1002,145
th135,mamizou1.ogg,佐渡の二ッ岩,5.061133786848073,125.06566893424036,132.1326530612245,5827050,5827050,0,1091,256,603
th135,chuboss1.ogg,幻想郷の二ッ岩,14.097210884353741,127.66918367346939,135.11473922902493,5958560,5958560,0,92,-28,8
th135,kokoro1.ogg,亡失のエモーション,11.466507936507936,262.1674603174603,269.44435374149657,11882496,11882496,0,762,215,21
th135,op.ogg,塵界不変のペシミズム,,,47.31469387755102,2086578,2086578,0,,,
th135,title.ogg,心綺楼囃子,4.493061224489796,100.49310657596372,106.16768707482993,4681995,4681995,0,4409,-1770,58
th135,kaiwa1.ogg,人気のある場所,2.7424489795918365,66.7424716553288,73.84965986394558,3256770,3256770,0,1284,-16,78
th135,kaiwa3.ogg,人気のない場所,2.8344444444444443,66.83439909297053,73.89693877551021,3258855,3258855,0,2181,1833,161
th135,kaiwa5.ogg,丑三つ時の里,9.111519274376418,60.02056689342404,65.10408163265306,2871090,2871090,0,231,-1769,65
th135,win.ogg,本日の一面記事,10.011746031746032,31.344784580498867,36.96360544217687,1646693,1646693,16598,65,287,161
th135,ed.ogg,暁雲,3.466145124716553,75.46614512471655,82.45519274376417,3636274,3636274,0,1751,-1142,12
th135,staffroll.ogg,官板黄昏新聞,,,71.8190022675737,3167218,3167218,0,,,
th135,charasel.ogg,演者選択,7.444875283446712,80.4884126984127,86.1924716553288,3801088,3801088,0,1765,1003,23
th135,maxwaza.ogg,ラストワード発動,3.8456462585034012,45.70607709750567,51.095124716553286,2253295,2253295,0,124,508,37
th135,reimu2.ogg,人気爆発／博麗霊夢,,,21.497369614512472,948034,948034,0,,,
th135,marisa2.ogg,人気爆発／霧雨魔理沙,,,21.49877551020408,948096,948096,0,,,
th135,ichirin2.ogg,人気爆発／雲居一輪＆雲山,,,21.499387755102042,948123,948123,0,,,
th135,hijiri2.ogg,人気爆発／聖白蓮,,,21.49907029478458,948109,948109,0,,,
th135,futo2.ogg,人気爆発／物部布都,,,21.49904761904762,948108,948108,0,,,
th135,miko2.ogg,人気爆発／豊聡耳神子,,,21.499002267573697,948106,948106,0,,,
th135,nitori2.ogg,人気爆発／河城にとり,,,21.499297052154194,948119,948119,0,,,
th135,koishi2.ogg,人気爆発／古明地こいし,,,21.49825396825397,948073,948073,0,,,
