game,file,title,auth_start,auth_end,idx_start,idx_end,d_start(样本),d_end(样本),d_start(ms),d_end(ms)
th075,sys00_op.wav,萃夢想,302368,4186967,302368,4186967,0,0,0.0,0.0
th075,00a.wav,東方妖恋談,91954,3694239,91954,3694239,0,0,0.0,0.0
th075,00b.wav,少女綺想曲　～ Capriccio,279805,3166354,279805,3166354,0,0,0.0,0.0
th075,01a.wav,恋色マジック,138579,2750829,138579,2750829,0,0,0.0,0.0
th075,01b.wav,魔女達の舞踏会,27195,2887736,27195,2887736,0,0,0.0,0.0
th075,02a.wav,メイドと血の懐中時計,53873,4485357,53873,4485357,0,0,0.0,0.0
th075,02b.wav,月時計　～ ルナ・ダイアル,76604,3757993,76604,3757993,0,0,0.0,0.0
th075,03a.wav,ブクレシュティの人形師,137784,5224681,137784,5224681,0,0,0.0,0.0
th075,03b.wav,人形裁判,107224,2815747,107224,2815747,0,0,0.0,0.0
th075,04a.wav,ラクトガール　～ 少女密室,121375,4520878,121375,4520878,0,0,0.0,0.0
th075,04b.wav,ヴワル魔法図書館,575918,3851093,575918,3851093,0,0,0.0,0.0
th075,05a.wav,広有射怪鳥事　～ Till When?,123857,3078169,123857,3078169,0,0,0.0,0.0
th075,05b.wav,東方妖々夢　～ Ancient Temple,638568,3785189,638568,3785189,0,0,0.0,0.0
th075,06a.wav,亡き王女の為のセプテット,1036260,3152834,1036260,3152834,0,0,0.0,0.0
th075,07a.wav,幽雅に咲かせ、墨染の桜　～ Border of Life,530071,2412022,530071,2412022,0,0,0.0,0.0
th075,00c.wav,Demystify Feast,441094,6125045,441094,6125045,0,0,0.0,0.0
th075,08a.wav,夜が降りてくる　～ Evening Star,264508,6478338,264508,6478338,0,0,0.0,0.0
th075,09a.wav,御伽の国の鬼が島　～ Missing Power,154597,8615271,154597,8615271,0,0,0.0,0.0
th075,53.wav,夏明き,172538,2525030,172538,2525030,0,0,0.0,0.0
th075,51.wav,魔所,45376,1456556,45376,1456556,0,0,0.0,0.0
th075,52.wav,月輪,306970,797620,306970,797620,0,0,0.0,0.0
th075,54.wav,遍参,135546,3310399,135546,3310399,0,0,0.0,0.0
th075,56.wav,裏心,28226,948950,28226,948950,0,0,0.0,0.0
