order,wiki_section,title,file,composer,theme,loop,loop_start_sec,loop_end_sec,duration_sec
1,Title Screen theme,緋想天,op.ogg,U2 Akiyama,,循环,28.419,133.063,141.875
2,Pre-Battle,日常坐臥,ta00.ogg,U2 Akiyama,,循环,13.887,67.222,75.571
3,Ruined Hakurei Shrine theme,地の色は黄色,st00.ogg,U2 Akiyama,,循环,8.365,95.032,108.33
4,Pre-Battle,甲論乙駁,ta01.ogg,U2 Akiyama,,循环,12.786,66.119,71.123
5,Pre-Battle,風光明媚,ta03.ogg,U2 Akiyama,,循环,8.034,62.035,71.496
6,Forest of Magic theme,香る樹葉花,st01.ogg,U2 Akiyama,,循环,13.957,104.393,113.841
7,Genbu Ravine theme,踊る水飛沫,st02.ogg,U2 Akiyama,,循环,13.957,104.392,114.363
8,Pre-Battle,以魚駆蠅,ta05.ogg,U2 Akiyama,,循环,14.902,65.605,70.809
9,Pre-Battle,冷吟閑酔,ta04.ogg,U2 Akiyama,,循环,4.255,60.255,66.038
10,Youkai Mountain theme,嘲りの遊戯,st03.ogg,U2 Akiyama,,循环,10.323,100.323,113.713
11,Pre-Battle,放縦不羈,ta08.ogg,U2 Akiyama,,循环,7.507,52.507,58.607
12,Pre-Battle (Before Iku Nagae),雲外蒼天,ta02.ogg,U2 Akiyama,,循环,4.372,61.52,66.99
13,Iku Nagae's theme / Mysterious Sea of Clouds theme,黒い海に紅く　～ Legendary Fish,st04.ogg,ZUN,,循环,29.091,192.0,209.727
14,Pre-Battle (Before Tenshi Hinanawi),天衣無縫,ta07.ogg,U2 Akiyama,,循环,10.339,74.338,75.918
15,Tenshi Hinanawi's theme / Bhavaagra theme,有頂天変　～ Wonderful Heaven,st05.ogg,ZUN,,循环,7.851,125.602,130.517
16,Tenshi's Last Spell Theme,幼心地の有頂天,st06.ogg,ZUN,,循环,77.53,101.383,114.779
17,Ending theme,暮色蒼然,ta06.ogg,U2 Akiyama,,循环,9.779,81.779,85.311
18,Staff Roll theme,東方緋想天,sr.ogg,U2 Akiyama,,不循环,,,84.46
19,Reimu Hakurei's theme / Pristine Hakurei Shrine theme,東方妖恋談,st10.ogg,U2 Akiyama,,循环,13.257,91.396,101.512
20,"Marisa Kirisame's theme / Forest of Magic, Kirisame Magic Shop theme",星の器　～ Casket of Star,st11.ogg,U2 Akiyama,,循环,9.998,90.913,94.982
21,Sakuya Izayoi's theme / Scarlet Devil Mansion Clock Tower theme,フラワリングナイト,st12.ogg,U2 Akiyama,,循环,21.119,109.54,125.141
22,"Alice Margatroid's theme / Forest of Magic, Forest of Dolls theme",ブクレシュティの人形師,st13.ogg,U2 Akiyama,,循环,14.386,108.049,117.604
23,Youmu Konpaku's theme / Netherworld theme,広有射怪鳥事　～ Till When？,st14.ogg,U2 Akiyama,,循环,13.226,95.327,111.178
24,Patchouli Knowledge's theme / Scarlet Devil Mansion Library theme,ラクトガール　～ 少女密室,st15.ogg,U2 Akiyama,,循环,6.51,97.32,103.518
25,Yuyuko Saigyouji's theme / Snowy Garden of Hakugyokurou theme,幽雅に咲かせ、墨染の桜　～ Border of Life,st16.ogg,U2 Akiyama,,循环,9.729,89.178,101.636
26,Remilia Scarlet's theme / Scarlet Devil Mansion Foyer,亡き王女の為のセプテット,st17.ogg,U2 Akiyama,,循环,11.269,99.268,115.288
27,Yukari Yakumo's theme / Forest of Magic alternate theme,夜が降りてくる,st18.ogg,U2 Akiyama,,循环,7.683,93.397,105.927
28,Suika Ibuki's theme / Ruined Hakurei Shrine alternate theme,砕月,st19.ogg,U2 Akiyama,,循环,9.112,106.612,124.047
29,Reisen Udongein Inaba's theme / Bamboo Forest of the Lost theme,狂気の瞳　～ Invisible Full Moon,st20.ogg,U2 Akiyama,,循环,6.184,93.981,101.282
30,Aya Shameimaru's theme / Youkai Mountain alternate theme,風神少女,st21.ogg,U2 Akiyama,,循环,19.078,128.792,144.474
31,Komachi Onozuka's theme / Genbu Ravine alternate theme,彼岸帰航　～ Riverside View,st22.ogg,U2 Akiyama,,循环,10.829,90.018,101.65
