order,wiki_section,title,file,composer,theme,loop,loop_start_sec,loop_end_sec,duration_sec,scope
1,Reimu Hakurei's theme,二色蓮花蝶　～ Red and White,155reimu1.ogg,Comp (BUTAOTOME),,Y,5.3474,138.6808,145.39,music_room
2,Marisa Kirisame's theme,恋色マスタースパーク,155marisa1.ogg,oiko (SOUNDOT),,Y,13.7047,154.8812,169.44,music_room
3,Ichirin Kumoi and Unzan's theme,時代親父とハイカラ少女,155ichirin1.ogg,ShavaDava (Sound CYCLONE),,Y,3.6003,124.1992,129.15,music_room
4,Byakuren Hijiri's theme,感情の摩天楼　～ Cosmic Mind,155hijiri1.ogg,NYO (Silver Forest),,Y,18.6846,149.3505,153.28,music_room
5,Mononobe no Futo's theme,大神神話伝,155futo1.ogg,Tai no Kobone (Azure&Sands),,Y,4.9169,143.3778,152.32,music_room
6,Toyosatomimi no Miko's theme,聖徳伝説　～ True Administrator,155miko1.ogg,Taka (CROW'SCLAW),,Y,24.0871,161.8648,168.88,music_room
7,Nitori Kawashiro's theme,芥川龍之介の河童　～ Candid Friend,155nitori1.ogg,Yuuyu (Yuya.),,Y,1.8317,133.5612,138.02,music_room
8,Koishi Komeiji's theme,ハルトマンの妖怪少女,155koishi1.ogg,Kishida (Kishida Kyoudan),,Y,2.2978,121.0732,128.46,music_room
9,Mamizou Futatsuiwa's theme,幻想郷の二ッ岩,155mamizou1.ogg,Shuzou (Sekkenya),,Y,2.3981,113.6176,119.69,music_room
10,Hata no Kokoro's theme,亡失のエモーション,155kokoro1.ogg,Dobu Usagi,,Y,13.729,238.6417,242.97,music_room
11,Fujiwara no Mokou's theme,月まで届け、不死の煙,155mokou1.ogg,ziki_7 (SOUNDOT),,Y,10.5017,175.0731,180.43,music_room
12,Shinmyoumaru Sukuna's theme,輝く針の小人族　～ Little Princess,155sinmyoumaru1.ogg,pizuya (Pizuya's Cell),,Y,5.4132,140.762,149.54,music_room
13,Kasen Ibaraki's theme,華狭間のバトルフィールド,155kasen1.ogg,Kou Ogata (k-waves LAB),,Y,13.1527,141.5005,151.61,music_room
14,Sumireko Usami's theme,ラストオカルティズム　～ 現し世の秘術師,155usami1.ogg,ARM (IOSYS),,Y,11.3699,135.1594,139.95,music_room
15,Reisen Udongein Inaba's theme,狂気の瞳　～ Invisible Full Moon,155udonge1.ogg,BeatMario (COOL&CREATE),,Y,34.6954,154.6961,165.35,music_room
16,Doremy Sweet's theme,永遠の春夢,155doremy1.ogg,Komso (Komsoya),,Y,20.0008,183.0778,190.67,music_room
17,Tenshi Hinanawi's theme,有頂天変　～ Wonderful Heaven,155tenshi1.ogg,Akai Ryuusei (Tokyo Active NEETs),,Y,3.7526,165.7616,168.0,music_room
18,Yukari Yakumo's 1st theme,夜が降りてくる　～ Evening Star,155yukari1.ogg,ELEMENTAS (A-One),,Y,5.4465,132.0412,139.03,music_room
19,Hakurei Shrine theme,地の色は黄色　～ Primrose,bgst01.ogg,U2 Akiyama,,Y,8.4164,95.0832,106.73,music_room
20,Kourindou theme,マッシュルーム・ワルツ,bgst02.ogg,U2 Akiyama,,Y,9.8609,106.6615,114.16,music_room
21,Treasure Ship Above the Clouds theme,聖輦船空を往く,bgst03.ogg,U2 Akiyama,,Y,9.0027,107.3748,115.12,music_room
22,Myouren Temple theme,法力の下の平等,bgst04.ogg,U2 Akiyama,,Y,6.3967,99.1243,110.92,music_room
23,Hall of Dreams' Great Mausoleum theme,恒常不変の参廟祀,bgst05.ogg,U2 Akiyama,,Y,12.181,102.1809,109.48,music_room
24,Divine Spirit Mausoleum theme,光輝く天球儀,bgst06.ogg,U2 Akiyama,,Y,11.4883,95.1725,102.85,music_room
25,Genbu Ravine theme,沢の河童の技術力,bgst07.ogg,U2 Akiyama,,Y,4.2519,94.6867,108.16,music_room
